Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
F,29,163,51,1992,Summer,Barcelona,Track&Field,Gold,Russia,Europe,Europe,Race
M,25,178,72,1952,Summer,others,Track&Field,Silver,Russia,Europe,Europe,Race
M,22,181,80,2010,Winter,Vancouver,MultiSport Race,Bronze,Croatia,North America,Europe,Race
F,27,182,59,2004,Summer,Athina,Track&Field,Bronze,Russia,Europe,Europe,Race
M,29,184,82,2008,Summer,Beijing,Fencing,Bronze,Italy,Asia,Europe,Combat
F,24,172,72,2012,Summer,London,Handball,Bronze,Spain,Europe,Europe,Ball
F,22,174,71,1980,Summer,Moskva,Hockey,Bronze,Russia,Europe,Europe,Ball
F,28,178,75,2000,Summer,Sydney,Rowing,Silver,Netherlands,Oceania,Europe,Boat
M,24,171,82,1980,Summer,Moskva,Others,Gold,Russia,Europe,Europe,Others
F,31,173,62,2014,Winter,Sochi,MultiSport Race,Bronze,Norway,Europe,Europe,Race
M,41,176,60,2014,Winter,Sochi,Skiing,Bronze,Japan,Europe,Asia,Snow
M,24,185,80,1960,Summer,Roma,Track&Field,Silver,Germany,Europe,Europe,Race
M,36,185,89,2012,Summer,London,Canoeing,Gold,Hungary,Europe,Europe,Boat
F,25,177,72,1992,Summer,Barcelona,Basketball,Silver,China,Europe,Asia,Ball
M,30,170,68,1992,Summer,Barcelona,Fencing,Bronze,France,Europe,Europe,Combat
M,22,178,64,1992,Winter,Albertville,Skiing,Bronze,Czech Republic,Europe,Europe,Snow
M,25,175,80,1972,Summer,Munich,Judo,Silver,South Korea,Europe,Asia,Combat
M,25,200,90,1980,Summer,Moskva,Volleyball,Gold,Russia,Europe,Europe,Ball
M,19,178,74,1968,Summer,Mexico City,Swimming,Bronze,Russia,North America,Europe,Water
M,23,199,93,1988,Summer,Seoul,Rowing,Gold,Germany,Asia,Europe,Boat
F,19,182,77,1976,Summer,Montreal,Rowing,Gold,Germany,North America,Europe,Boat
M,31,172,75,2000,Summer,Sydney,Cycling,Bronze,Italy,Oceania,Europe,Others
M,29,187,83,1968,Summer,Mexico City,Rowing,Bronze,Russia,North America,Europe,Boat
M,28,180,84,1980,Summer,Moskva,Handball,Silver,Russia,Europe,Europe,Ball
F,20,166,58,1988,Summer,Seoul,Swimming,Bronze,France,Asia,Europe,Water
M,30,188,77,1912,Summer,others,Track&Field,Gold,Others,Europe,Africa,Race
M,21,186,76,1980,Summer,Moskva,Swimming,Gold,Russia,Europe,Europe,Water
M,22,165,70,1988,Summer,Seoul,Football,Bronze,Germany,Asia,Europe,Ball
F,22,172,70,1998,Winter,Nagano,Skiing,Bronze,Germany,Asia,Europe,Snow
M,25,163,59,1972,Summer,Munich,Gymnastics,Gold,Japan,Europe,Asia,Acrobatic
F,28,173,55,2000,Summer,Sydney,Track&Field,Silver,Norway,Oceania,Europe,Race
M,22,174,62,1994,Winter,Lillehammer,Skiing,Bronze,Norway,Europe,Europe,Snow
M,20,213,110,1988,Summer,Seoul,Basketball,Silver,Serbia,Asia,Europe,Ball
M,25,176,58,1984,Summer,Los Angeles,Track&Field,Gold,Italy,North America,Europe,Race
M,19,175,66,2014,Winter,Sochi,Skating,Bronze,China,Europe,Asia,Ice
F,23,161,55,2004,Summer,Athina,Gymnastics,Silver,Canada,Europe,North America,Acrobatic
M,24,170,66.5,1936,Summer,others,Boxing,Gold,Finland,Europe,Europe,Combat
M,27,186,82,1964,Summer,Tokyo,Volleyball,Gold,Russia,Asia,Europe,Ball
